Model,RMSE,MAE,R²
Linear Regression,0.35576235585478977,0.2196546401475106,0.7138119227042553
Random Forest,0.19828981315236555,0.16684444444444438,0.9110937363039223
Gradient Boosting,0.17104750309382535,0.1422705380125594,0.933844641089902
